,File_name,Author_name,Credit,license_code,license_link,link_original_file,link_page
10,Submerged tree under a dark and cloudy sky in Si Phan Don.jpg,Basile Morin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/8/8d/Submerged_tree_under_a_dark_and_cloudy_sky_in_Si_Phan_Don.jpg,https://commons.wikimedia.org/wiki/File:Submerged_tree_under_a_dark_and_cloudy_sky_in_Si_Phan_Don.jpg
11,Submerged tree under a dark sky in Si Phan Don.jpg,Basile Morin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/1/11/Submerged_tree_under_a_dark_sky_in_Si_Phan_Don.jpg,https://commons.wikimedia.org/wiki/File:Submerged_tree_under_a_dark_sky_in_Si_Phan_Don.jpg
12,"Glaciar Davidson, Haines, Alaska, Estados Unidos, 2017-08-18, DD 78.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/6/67/Glaciar_Davidson%2C_Haines%2C_Alaska%2C_Estados_Unidos%2C_2017-08-18%2C_DD_78.jpg,https://commons.wikimedia.org/wiki/File:Glaciar_Davidson%2C_Haines%2C_Alaska%2C_Estados_Unidos%2C_2017-08-18%2C_DD_78.jpg
13,"Parque estatal Chugach, Alaska, Estados Unidos, 2017-08-22, DD 84.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/1/18/Parque_estatal_Chugach%2C_Alaska%2C_Estados_Unidos%2C_2017-08-22%2C_DD_84.jpg,https://commons.wikimedia.org/wiki/File:Parque_estatal_Chugach%2C_Alaska%2C_Estados_Unidos%2C_2017-08-22%2C_DD_84.jpg
14,"Glaciar Davidson, Haines, Alaska, Estados Unidos, 2017-08-18, DD 77.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/2/2d/Glaciar_Davidson%2C_Haines%2C_Alaska%2C_Estados_Unidos%2C_2017-08-18%2C_DD_77.jpg,https://commons.wikimedia.org/wiki/File:Glaciar_Davidson%2C_Haines%2C_Alaska%2C_Estados_Unidos%2C_2017-08-18%2C_DD_77.jpg
15,"Desprendimiento en el glaciar Margerie, Parque Nacional Bahía del Glaciar, Alaska, Estados Unidos, 2017-08-19, DD 57.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/2/2f/Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_57.jpg,https://commons.wikimedia.org/wiki/File:Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_57.jpg
16,"Desprendimiento en el glaciar Margerie, Parque Nacional Bahía del Glaciar, Alaska, Estados Unidos, 2017-08-19, DD 66.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/2/27/Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_66.jpg,https://commons.wikimedia.org/wiki/File:Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_66.jpg
17,"Desprendimiento en el glaciar Margerie, Parque Nacional Bahía del Glaciar, Alaska, Estados Unidos, 2017-08-19, DD 62.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/f/f4/Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_62.jpg,https://commons.wikimedia.org/wiki/File:Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_62.jpg
18,Timanfaya - Lanzarote 09.jpg,,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/d/d3/Timanfaya_-_Lanzarote_09.jpg,https://commons.wikimedia.org/wiki/File:Timanfaya_-_Lanzarote_09.jpg
19,Desenka Railway Halt 2017 BW G1.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/a/a5/Desenka_Railway_Halt_2017_BW_G1.jpg,https://commons.wikimedia.org/wiki/File:Desenka_Railway_Halt_2017_BW_G1.jpg
20,Forest road Slavne 2017 BW G4.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/c/cc/Forest_road_Slavne_2017_BW_G4.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_BW_G4.jpg
21,Forest road Slavne 2017 BW G7.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/e/e3/Forest_road_Slavne_2017_BW_G7.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_BW_G7.jpg
22,Charleroi - avant la pluie.jpg,Jmh2o,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/5/5a/Charleroi_-_avant_la_pluie.jpg,https://commons.wikimedia.org/wiki/File:Charleroi_-_avant_la_pluie.jpg
23,Maintal Baumgruppe P1063287.jpg,Ermell,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/1/10/Maintal_Baumgruppe_P1063287.jpg,https://commons.wikimedia.org/wiki/File:Maintal_Baumgruppe_P1063287.jpg
24,Oak in snow 2017 BW G1.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/3/31/Oak_in_snow_2017_BW_G1.jpg,https://commons.wikimedia.org/wiki/File:Oak_in_snow_2017_BW_G1.jpg
25,Water droplet on a leaf.JPG,Mightyhansa,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/3/3c/Water_droplet_on_a_leaf.JPG,https://commons.wikimedia.org/wiki/File:Water_droplet_on_a_leaf.JPG
26,Forest road Slavne 2017 BW G9.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/c/cc/Forest_road_Slavne_2017_BW_G9.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_BW_G9.jpg
27,Snowy road Sosonka 2017 BW G1.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/7/70/Snowy_road_Sosonka_2017_BW_G1.jpg,https://commons.wikimedia.org/wiki/File:Snowy_road_Sosonka_2017_BW_G1.jpg
28,Forest road Slavne 2017 BW G5.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/1/12/Forest_road_Slavne_2017_BW_G5.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_BW_G5.jpg
29,Forest road Slavne 2017 BW G6.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/a/a9/Forest_road_Slavne_2017_BW_G6.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_BW_G6.jpg
30,Forest road Slavne 2017 BW G8.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/6/6d/Forest_road_Slavne_2017_BW_G8.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_BW_G8.jpg
31,Aurora in Abisko near Torneträsk.jpg,Pavel.shyshkouski,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/a/a6/Aurora_in_Abisko_near_Tornetr%C3%A4sk.jpg,https://commons.wikimedia.org/wiki/File:Aurora_in_Abisko_near_Tornetr%C3%A4sk.jpg
32,Forest road Slavne 2017 BW G3.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/1/12/Forest_road_Slavne_2017_BW_G3.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_BW_G3.jpg
33,Enlightened sousse.jpg,Khwissem,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/7/70/Enlightened_sousse.jpg,https://commons.wikimedia.org/wiki/File:Enlightened_sousse.jpg
34,Rainbow over Brussels (DSCF6478).jpg,Trougnouf,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/e/e1/Rainbow_over_Brussels_%28DSCF6478%29.jpg,https://commons.wikimedia.org/wiki/File:Rainbow_over_Brussels_%28DSCF6478%29.jpg
35,"Glaciar Mendenhall y cascada Nugget, Juneau, Alaska, Estados Unidos, 2017-08-17, DD 11.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/d/d9/Glaciar_Mendenhall_y_cascada_Nugget%2C_Juneau%2C_Alaska%2C_Estados_Unidos%2C_2017-08-17%2C_DD_11.jpg,https://commons.wikimedia.org/wiki/File:Glaciar_Mendenhall_y_cascada_Nugget%2C_Juneau%2C_Alaska%2C_Estados_Unidos%2C_2017-08-17%2C_DD_11.jpg
36,"Parque estatal Chugach, Alaska, Estados Unidos, 2017-08-22, DD 101.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/4/4b/Parque_estatal_Chugach%2C_Alaska%2C_Estados_Unidos%2C_2017-08-22%2C_DD_101.jpg,https://commons.wikimedia.org/wiki/File:Parque_estatal_Chugach%2C_Alaska%2C_Estados_Unidos%2C_2017-08-22%2C_DD_101.jpg
37,Snowy road Sosonka 2017 G1.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/4/44/Snowy_road_Sosonka_2017_G1.jpg,https://commons.wikimedia.org/wiki/File:Snowy_road_Sosonka_2017_G1.jpg
38,Forest road Slavne 2017 G6.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/1/1a/Forest_road_Slavne_2017_G6.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_G6.jpg
39,Forest road Slavne 2017 G7.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/f/fd/Forest_road_Slavne_2017_G7.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_G7.jpg
40,Forest road Slavne 2017 G8.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/7/75/Forest_road_Slavne_2017_G8.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_G8.jpg
41,Forest road Slavne 2017 G9.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/f/f2/Forest_road_Slavne_2017_G9.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_G9.jpg
42,Forest road Slavne 2017 G3.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/1/16/Forest_road_Slavne_2017_G3.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_G3.jpg
43,Forest road Slavne 2017 G5.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/8/8a/Forest_road_Slavne_2017_G5.jpg,https://commons.wikimedia.org/wiki/File:Forest_road_Slavne_2017_G5.jpg
44,Oak in snow 2017 G1.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/c/c2/Oak_in_snow_2017_G1.jpg,https://commons.wikimedia.org/wiki/File:Oak_in_snow_2017_G1.jpg
45,Virmalised 14.12.15.jpg,Kristian Pikner,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/b/bc/Virmalised_14.12.15.jpg,https://commons.wikimedia.org/wiki/File:Virmalised_14.12.15.jpg
46,Virmalised 27.03.2017 - Northern Lights 28.03.17 copy.jpg,Kristian Pikner,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/f/f7/Virmalised_27.03.2017_-_Northern_Lights_28.03.17_copy.jpg,https://commons.wikimedia.org/wiki/File:Virmalised_27.03.2017_-_Northern_Lights_28.03.17_copy.jpg
47,Virmalised 07.10.15 - Aurora Borealis 07.10.15 (11) copy.jpg,Kristian Pikner,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/a/a9/Virmalised_07.10.15_-_Aurora_Borealis_07.10.15_%2811%29_copy.jpg,https://commons.wikimedia.org/wiki/File:Virmalised_07.10.15_-_Aurora_Borealis_07.10.15_%2811%29_copy.jpg
48,Virmalised 17.03.15 - Aurora Borealis 17.03.15 (8) copy.jpg,Kristian Pikner,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/b/b9/Virmalised_17.03.15_-_Aurora_Borealis_17.03.15_%288%29_copy.jpg,https://commons.wikimedia.org/wiki/File:Virmalised_17.03.15_-_Aurora_Borealis_17.03.15_%288%29_copy.jpg
49,Timanfaya - Lanzarote 10.jpg,,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/9/92/Timanfaya_-_Lanzarote_10.jpg,https://commons.wikimedia.org/wiki/File:Timanfaya_-_Lanzarote_10.jpg
50,Desna river Vinn meadow 2016 G8.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/1/11/Desna_river_Vinn_meadow_2016_G8.jpg,https://commons.wikimedia.org/wiki/File:Desna_river_Vinn_meadow_2016_G8.jpg
51,Desna river Vinn meadow 2016 G9.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/c/c9/Desna_river_Vinn_meadow_2016_G9.jpg,https://commons.wikimedia.org/wiki/File:Desna_river_Vinn_meadow_2016_G9.jpg
52,Desna river Vinn meadow 2016 G3.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/a/a9/Desna_river_Vinn_meadow_2016_G3.jpg,https://commons.wikimedia.org/wiki/File:Desna_river_Vinn_meadow_2016_G3.jpg
53,Desna river Vinn meadow 2016 G6.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/c/c4/Desna_river_Vinn_meadow_2016_G6.jpg,https://commons.wikimedia.org/wiki/File:Desna_river_Vinn_meadow_2016_G6.jpg
54,Desna river Vinn meadow 2016 G7.jpg,George Chernilevsky,Own work,Public domain,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/5/58/Desna_river_Vinn_meadow_2016_G7.jpg,https://commons.wikimedia.org/wiki/File:Desna_river_Vinn_meadow_2016_G7.jpg
55,Total Solar Eclipse 8-21-17.jpg,Michael S Adler,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/c/cd/Total_Solar_Eclipse_8-21-17.jpg,https://commons.wikimedia.org/wiki/File:Total_Solar_Eclipse_8-21-17.jpg
56,Refraction Creates Smoke.jpg,Ian Wagers,Own work,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/c/c8/Refraction_Creates_Smoke.jpg,https://commons.wikimedia.org/wiki/File:Refraction_Creates_Smoke.jpg
57,2018 Zdjęcie rentgenowskie lewego stawu barkowego.jpg,Jacek Halicki,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/5/5d/2018_Zdj%C4%99cie_rentgenowskie_lewego_stawu_barkowego.jpg,https://commons.wikimedia.org/wiki/File:2018_Zdj%C4%99cie_rentgenowskie_lewego_stawu_barkowego.jpg
58,DerrumbeMexico1709.jpg,Carlos Valenzuela,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/b/b5/DerrumbeMexico1709.jpg,https://commons.wikimedia.org/wiki/File:DerrumbeMexico1709.jpg
59,17-08-05-Geysir-RalfR-DSC 2831.jpg,Ralf Roletschek,Own work,GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.htm,https://upload.wikimedia.org/wikipedia/commons/2/2b/17-08-05-Geysir-RalfR-DSC_2831.jpg,https://commons.wikimedia.org/wiki/File:17-08-05-Geysir-RalfR-DSC_2831.jpg
60,Nebelmeer nördlich der Milseburg.jpg,Jörg Braukmann,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/9/98/Nebelmeer_n%C3%B6rdlich_der_Milseburg.jpg,https://commons.wikimedia.org/wiki/File:Nebelmeer_n%C3%B6rdlich_der_Milseburg.jpg
61,17-08-05-Geysir-RalfR-DSC 2791.jpg,Ralf Roletschek,Own work,GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.htm,https://upload.wikimedia.org/wikipedia/commons/a/a0/17-08-05-Geysir-RalfR-DSC_2791.jpg,https://commons.wikimedia.org/wiki/File:17-08-05-Geysir-RalfR-DSC_2791.jpg
62,17-08-05-Geysir-RalfR-DSC 2810.jpg,Ralf Roletschek,Own work,GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.htm,https://upload.wikimedia.org/wikipedia/commons/9/9c/17-08-05-Geysir-RalfR-DSC_2810.jpg,https://commons.wikimedia.org/wiki/File:17-08-05-Geysir-RalfR-DSC_2810.jpg
63,17-08-05-Geysir-RalfR-DSC 2802.jpg,Ralf Roletschek,Own work,GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.htm,https://upload.wikimedia.org/wikipedia/commons/0/02/17-08-05-Geysir-RalfR-DSC_2802.jpg,https://commons.wikimedia.org/wiki/File:17-08-05-Geysir-RalfR-DSC_2802.jpg
64,Benasque - Llanos del Hospital 01.jpg,Basotxerri,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/7/7f/Benasque_-_Llanos_del_Hospital_01.jpg,https://commons.wikimedia.org/wiki/File:Benasque_-_Llanos_del_Hospital_01.jpg
65,Small sun dog in cumulus.jpg,W.carter,Own work,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.e,https://upload.wikimedia.org/wikipedia/commons/0/0c/Small_sun_dog_in_cumulus.jpg,https://commons.wikimedia.org/wiki/File:Small_sun_dog_in_cumulus.jpg
66,2017 Tęcza w Kłodzku.jpg,Jacek Halicki,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/0/08/2017_T%C4%99cza_w_K%C5%82odzku.jpg,https://commons.wikimedia.org/wiki/File:2017_T%C4%99cza_w_K%C5%82odzku.jpg
67,"Kopenhagen (DK), Innenhafen -- 2017 -- 1439-41.jpg",,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/3/33/Kopenhagen_%28DK%29%2C_Innenhafen_--_2017_--_1439-41.jpg,https://commons.wikimedia.org/wiki/File:Kopenhagen_%28DK%29%2C_Innenhafen_--_2017_--_1439-41.jpg
68,Thunder cloud over Gåseberg.jpg,W.carter,Own work,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.e,https://upload.wikimedia.org/wikipedia/commons/5/5f/Thunder_cloud_over_G%C3%A5seberg.jpg,https://commons.wikimedia.org/wiki/File:Thunder_cloud_over_G%C3%A5seberg.jpg
69,20160807 Tęcza nad Nyaung Shwe 9006 DxO.jpg,Jakub Hałun,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/e/ea/20160807_T%C4%99cza_nad_Nyaung_Shwe_9006_DxO.jpg,https://commons.wikimedia.org/wiki/File:20160807_T%C4%99cza_nad_Nyaung_Shwe_9006_DxO.jpg
70,Kedarnath Wildlife Sanctuary JEG0449.jpg,PJeganathan,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/4/4e/Kedarnath_Wildlife_Sanctuary_JEG0449.jpg,https://commons.wikimedia.org/wiki/File:Kedarnath_Wildlife_Sanctuary_JEG0449.jpg
71,Kastelruth Wolken Schlernhex.jpg,,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/6/6a/Kastelruth_Wolken_Schlernhex.jpg,https://commons.wikimedia.org/wiki/File:Kastelruth_Wolken_Schlernhex.jpg
72,Milky Way Galaxy As Seen From Amphulaptsa Base Camp.jpg,Pravin Mishra,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/b/b7/Milky_Way_Galaxy_As_Seen_From_Amphulaptsa_Base_Camp.jpg,https://commons.wikimedia.org/wiki/File:Milky_Way_Galaxy_As_Seen_From_Amphulaptsa_Base_Camp.jpg
